"","stredisko","funkcia","hod","fte"
"1",2,"F",377.458333333333,2.17
"2",2,"L",326.541666666667,1.88
"3",2,"ZF",19.0833333333333,0.11
"4",3,"F",182.875,1.05
"5",3,"ZF",124.625,0.72
"6",5,"F",153.666666666667,0.88
"7",5,"L",142.333333333333,0.82
"8",5,"ZF",147.833333333333,0.85
"9",6,"F",149.333333333333,0.86
"10",6,"L",314.208333333333,1.81
"11",6,"ZF",138.5,0.8
"12",7,"F",148,0.85
"13",7,"L",69.5416666666667,0.4
"14",7,"ZF",153.458333333333,0.88
"15",9,"F",246.166666666667,1.41
"16",9,"L",400.916666666667,2.3
"17",9,"ZF",143.333333333333,0.82
"18",11,"F",339.25,1.95
"19",11,"L",493.75,2.84
"20",11,"ZF",46.6666666666667,0.27
"21",12,"F",244.125,1.4
"22",12,"L",444.375,2.55
"23",12,"ZF",144.666666666667,0.83
"24",13,"F",137.333333333333,0.79
"25",13,"L",150.666666666667,0.87
"26",13,"ZF",115.375,0.66
"27",14,"F",454.125,2.61
"28",14,"L",273.5,1.57
"29",14,"ZF",147.75,0.85
"30",15,"F",322.708333333333,1.85
"31",15,"L",301.333333333333,1.73
"32",15,"ZF",126.916666666667,0.73
"33",16,"F",318.375,1.83
"34",16,"L",300,1.72
"35",16,"ZF",47.4583333333333,0.27
"36",17,"F",251.625,1.45
"37",17,"L",280.291666666667,1.61
"38",17,"ZF",132.708333333333,0.76
"39",18,"F",142.291666666667,0.82
"40",18,"L",286.875,1.65
"41",18,"ZF",94.4375,0.54
"42",19,"F",422.083333333333,2.43
"43",19,"L",280.875,1.61
"44",19,"ZF",18.625,0.11
"45",22,"F",289.916666666667,1.67
"46",22,"L",530.291666666667,3.05
"47",22,"ZF",155.458333333333,0.89
"48",25,"F",604.333333333333,3.47
"49",25,"L",441.75,2.54
"50",25,"ZF",150.5,0.86
"51",26,"F",235.666666666667,1.35
"52",26,"L",425.041666666667,2.44
"53",26,"ZF",149.833333333333,0.86
"54",27,"F",308.875,1.78
"55",27,"L",446.708333333333,2.57
"56",27,"ZF",121,0.7
"57",29,"F",733.583333333333,4.22
"58",29,"L",734.333333333333,4.22
"59",29,"ZF",151.833333333333,0.87
"60",30,"F",267.625,1.54
"61",30,"L",270.708333333333,1.56
"62",30,"ZF",141.791666666667,0.81
"63",31,"F",289.583333333333,1.66
"64",31,"L",439.458333333333,2.53
"65",31,"ZF",151.25,0.87
"66",32,"F",144.333333333333,0.83
"67",32,"L",269.208333333333,1.55
"68",32,"ZF",131.083333333333,0.75
"69",33,"F",374.833333333333,2.15
"70",33,"L",438.541666666667,2.52
"71",33,"ZF",145.583333333333,0.84
"72",34,"F",396.208333333333,2.28
"73",34,"L",409.75,2.35
"74",34,"ZF",132.708333333333,0.76
"75",35,"F",148.291666666667,0.85
"76",35,"L",151.958333333333,0.87
"77",35,"ZF",139,0.8
"78",36,"F",413.458333333333,2.38
"79",36,"L",644.5,3.7
"80",36,"ZF",153.666666666667,0.88
"81",37,"F",463.583333333333,2.66
"82",37,"ZF",107.916666666667,0.62
"83",38,"F",447.5,2.57
"84",38,"L",439.979166666667,2.53
"85",38,"ZF",143.958333333333,0.83
"86",39,"F",543.916666666667,3.13
"87",39,"L",565.25,3.25
"88",39,"ZF",145.666666666667,0.84
"89",40,"F",104,0.6
"90",40,"L",140,0.8
"91",40,"ZF",141.5,0.81
"92",41,"F",742.791666666667,4.27
"93",41,"L",442.541666666667,2.54
"94",41,"ZF",135.208333333333,0.78
"95",42,"F",471.125,2.71
"96",42,"L",424.541666666667,2.44
"97",42,"ZF",154.333333333333,0.89
"98",43,"F",458.833333333333,2.64
"99",43,"L",693.333333333333,3.98
"100",43,"ZF",132.666666666667,0.76
"101",45,"F",433.416666666667,2.49
"102",45,"L",288.895833333333,1.66
"103",45,"ZF",144.041666666667,0.83
"104",46,"F",166.208333333333,0.96
"105",46,"L",275.083333333333,1.58
"106",46,"ZF",130,0.75
"107",47,"F",309.625,1.78
"108",47,"L",422.25,2.43
"109",48,"F",84.4583333333333,0.49
"110",48,"L",278.916666666667,1.6
"111",48,"ZF",153.833333333333,0.88
"112",49,"F",147.166666666667,0.85
"113",49,"L",440.25,2.53
"114",49,"ZF",130.75,0.75
"115",50,"L",150.458333333333,0.86
"116",50,"ZF",142.958333333333,0.82
"117",51,"F",408.333333333333,2.35
"118",51,"ZF",17,0.1
"119",52,"F",222.125,1.28
"120",52,"L",385.5,2.22
"121",52,"ZF",130.916666666667,0.75
"122",54,"F",501.708333333333,2.88
"123",54,"L",572.375,3.29
"124",54,"ZF",148.25,0.85
"125",55,"F",432.708333333333,2.49
"126",55,"L",298.125,1.71
"127",55,"ZF",156.541666666667,0.9
"128",56,"F",449.291666666667,2.58
"129",56,"L",167,0.96
"130",56,"ZF",148.916666666667,0.86
"131",57,"ZF",152.333333333333,0.88
"132",58,"F",127.958333333333,0.74
"133",58,"L",127.333333333333,0.73
"134",58,"ZF",124.833333333333,0.72
"135",59,"F",151.5,0.87
"136",59,"L",262,1.51
"137",59,"ZF",128.166666666667,0.74
"138",61,"F",450.5,2.59
"139",61,"L",420.583333333333,2.42
"140",61,"ZF",142.666666666667,0.82
"141",62,"F",151.25,0.87
"142",62,"L",315.875,1.82
"143",62,"ZF",164.75,0.95
"144",63,"F",150.541666666667,0.87
"145",63,"L",267.958333333333,1.54
"146",63,"ZF",143.333333333333,0.82
"147",64,"F",326.25,1.88
"148",64,"L",316.166666666667,1.82
"149",64,"ZF",13.4166666666667,0.08
"150",65,"F",121.791666666667,0.7
"151",65,"ZF",149.958333333333,0.86
"152",66,"F",161.458333333333,0.93
"153",66,"L",516.583333333333,2.97
"154",66,"ZF",141.916666666667,0.82
"155",67,"F",600.375,3.45
"156",67,"L",583.791666666667,3.36
"157",67,"ZF",145.583333333333,0.84
"158",68,"L",142.333333333333,0.82
"159",68,"ZF",144.583333333333,0.83
"160",69,"F",292.583333333333,1.68
"161",69,"L",299.833333333333,1.72
"162",69,"ZF",143,0.82
"163",70,"F",284.958333333333,1.64
"164",70,"L",471.708333333333,2.71
"165",70,"ZF",151.833333333333,0.87
"166",71,"F",683.125,3.93
"167",71,"L",440.875,2.53
"168",71,"ZF",148.875,0.86
"169",72,"F",497.541666666667,2.86
"170",72,"L",348.25,2
"171",72,"ZF",161.583333333333,0.93
"172",73,"F",487.083333333333,2.8
"173",73,"L",313.958333333333,1.8
"174",73,"ZF",145.625,0.84
"175",74,"F",415.666666666667,2.39
"176",74,"L",447.208333333333,2.57
"177",74,"ZF",119.375,0.69
"178",76,"F",314.083333333333,1.81
"179",76,"L",279.833333333333,1.61
"180",76,"ZF",149.083333333333,0.86
"181",77,"F",243.25,1.4
"182",77,"L",427.083333333333,2.45
"183",77,"ZF",136.25,0.78
"184",78,"F",406.583333333333,2.34
"185",78,"ZF",145.166666666667,0.83
"186",79,"F",137.916666666667,0.79
"187",79,"L",152,0.87
"188",79,"ZF",117.541666666667,0.68
"189",80,"F",191.916666666667,1.1
"190",80,"L",445.875,2.56
"191",80,"ZF",130.583333333333,0.75
"192",81,"F",151.875,0.87
"193",81,"L",143.75,0.83
"194",81,"ZF",19.5833333333333,0.11
"195",82,"F",496.291666666667,2.85
"196",82,"L",432.458333333333,2.49
"197",82,"ZF",36.0833333333333,0.21
"198",83,"F",85.375,0.49
"199",83,"ZF",127.416666666667,0.73
"200",84,"F",290.375,1.67
"201",84,"L",516.458333333333,2.97
"202",84,"ZF",142.625,0.82
"203",85,"F",65.0416666666667,0.37
"204",85,"L",277.875,1.6
"205",85,"ZF",150.583333333333,0.87
"206",86,"F",288.291666666667,1.66
"207",86,"L",305.458333333333,1.76
"208",86,"ZF",152.833333333333,0.88
"209",87,"F",291.958333333333,1.68
"210",87,"L",415.916666666667,2.39
"211",87,"ZF",153.333333333333,0.88
"212",88,"F",114.5,0.66
"213",88,"L",159.958333333333,0.92
"214",88,"ZF",155.916666666667,0.9
"215",89,"F",567.0625,3.26
"216",89,"L",265.9375,1.53
"217",89,"ZF",144.75,0.83
"218",90,"F",311.416666666667,1.79
"219",90,"L",285.458333333333,1.64
"220",90,"ZF",151.333333333333,0.87
"221",91,"F",136.291666666667,0.78
"222",91,"L",368.708333333333,2.12
"223",91,"ZF",146.75,0.84
"224",92,"F",295.583333333333,1.7
"225",92,"L",297.583333333333,1.71
"226",92,"ZF",144.708333333333,0.83
"227",93,"F",142.458333333333,0.82
"228",93,"L",299.875,1.72
"229",93,"ZF",151.083333333333,0.87
"230",94,"F",278.333333333333,1.6
"231",94,"L",430.75,2.48
"232",94,"ZF",150.333333333333,0.86
"233",96,"F",41.3333333333333,0.24
"234",96,"L",139.916666666667,0.8
"235",96,"ZF",121.583333333333,0.7
"236",97,"F",545.333333333333,3.13
"237",97,"L",393.333333333333,2.26
"238",97,"ZF",140.666666666667,0.81
"239",98,"F",426.166666666667,2.45
"240",98,"L",139,0.8
"241",98,"ZF",140.333333333333,0.81
"242",99,"F",145.333333333333,0.84
"243",99,"L",107.333333333333,0.62
"244",99,"ZF",19.875,0.11
"245",100,"ZF",147.333333333333,0.85
"246",101,"F",25.75,0.15
"247",101,"L",153.333333333333,0.88
"248",101,"ZF",80.7083333333333,0.46
"249",102,"F",457.083333333333,2.63
"250",102,"ZF",151.875,0.87
"251",103,"F",208,1.2
"252",103,"ZF",152,0.87
"253",104,"F",334.25,1.92
"254",104,"L",283.666666666667,1.63
"255",104,"ZF",118.083333333333,0.68
"256",105,"F",214.25,1.23
"257",105,"L",291.520833333333,1.68
"258",105,"ZF",33,0.19
"259",106,"F",141.291666666667,0.81
"260",106,"ZF",135.083333333333,0.78
"261",107,"F",580.708333333333,3.34
"262",107,"L",473.791666666667,2.72
"263",107,"ZF",45.8333333333333,0.26
"264",109,"L",150.833333333333,0.87
"265",109,"ZF",152.041666666667,0.87
"266",110,"F",151.375,0.87
"267",110,"L",267.875,1.54
"268",110,"ZF",106.083333333333,0.61
"269",111,"F",239.416666666667,1.38
"270",111,"L",39,0.22
"271",111,"ZF",128.791666666667,0.74
"272",112,"F",267.166666666667,1.54
"273",112,"L",144.333333333333,0.83
"274",112,"ZF",148.5,0.85
"275",113,"F",82.25,0.47
"276",113,"L",147,0.84
"277",113,"ZF",99.5,0.57
"278",126,"F",167.5,0.96
"279",126,"L",302.166666666667,1.74
"280",126,"ZF",132.125,0.76
"281",127,"F",231.958333333333,1.33
"282",127,"L",168.3125,0.97
"283",127,"ZF",149.833333333333,0.86
"284",129,"F",148.375,0.85
"285",129,"L",294.541666666667,1.69
"286",129,"ZF",143.416666666667,0.82
"287",130,"F",40,0.23
"288",130,"L",112,0.64
"289",130,"ZF",134.520833333333,0.77
"290",131,"F",247.25,1.42
"291",131,"L",261.125,1.5
"292",131,"ZF",135,0.78
"293",132,"F",272,1.56
"294",132,"L",269.333333333333,1.55
"295",132,"ZF",132.791666666667,0.76
"296",134,"F",65.7083333333333,0.38
"297",134,"L",122.75,0.71
"298",134,"ZF",99,0.57
"299",135,"F",69.875,0.4
"300",135,"L",142.791666666667,0.82
"301",135,"ZF",139.416666666667,0.8
"302",136,"F",386.375,2.22
"303",136,"L",587.708333333333,3.38
"304",136,"ZF",149.583333333333,0.86
"305",138,"F",149.041666666667,0.86
"306",138,"L",145.333333333333,0.84
"307",138,"ZF",146,0.84
"308",139,"F",40.6666666666667,0.23
"309",139,"L",101.333333333333,0.58
"310",139,"ZF",118,0.68
"311",141,"F",292.708333333333,1.68
"312",141,"L",375.166666666667,2.16
"313",141,"ZF",140.333333333333,0.81
"314",143,"F",316.291666666667,1.82
"315",143,"L",460.916666666667,2.65
"316",143,"ZF",116.5,0.67
"317",144,"F",734.333333333333,4.22
"318",144,"L",615.666666666667,3.54
"319",144,"ZF",114.166666666667,0.66
"320",145,"F",295.708333333333,1.7
"321",145,"L",403.583333333333,2.32
"322",145,"ZF",125.791666666667,0.72
"323",146,"F",302.041666666667,1.74
"324",146,"L",462.541666666667,2.66
"325",146,"ZF",156.875,0.9
"326",147,"ZF",138,0.79
"327",148,"F",113.416666666667,0.65
"328",148,"ZF",136.416666666667,0.78
"329",149,"F",314.75,1.81
"330",149,"L",295.25,1.7
"331",149,"ZF",147.583333333333,0.85
"332",151,"F",601.666666666667,3.46
"333",151,"L",566.833333333333,3.26
"334",151,"ZF",144.291666666667,0.83
"335",159,"F",132.041666666667,0.76
"336",159,"L",134.291666666667,0.77
"337",159,"ZF",142.291666666667,0.82
"338",161,"F",303.833333333333,1.75
"339",161,"L",297.416666666667,1.71
"340",161,"ZF",19.6666666666667,0.11
"341",162,"F",280.791666666667,1.61
"342",162,"L",291.5,1.68
"343",162,"ZF",151.958333333333,0.87
"344",163,"F",278.25,1.6
"345",163,"L",414.916666666667,2.38
"346",163,"ZF",148.958333333333,0.86
"347",164,"F",289.041666666667,1.66
"348",164,"L",300.0625,1.72
"349",164,"ZF",140.125,0.81
"350",174,"F",434.333333333333,2.5
"351",174,"L",447.083333333333,2.57
"352",174,"ZF",147.333333333333,0.85
"353",175,"F",303.708333333333,1.75
"354",175,"L",448.291666666667,2.58
"355",175,"ZF",115.333333333333,0.66
"356",176,"F",145.666666666667,0.84
"357",176,"ZF",148.625,0.85
"358",177,"F",475.541666666667,2.73
"359",177,"L",542.375,3.12
"360",177,"ZF",134.166666666667,0.77
"361",178,"F",354.583333333333,2.04
"362",178,"L",225.583333333333,1.3
"363",178,"ZF",141.083333333333,0.81
"364",179,"F",268.416666666667,1.54
"365",179,"L",225.666666666667,1.3
"366",179,"ZF",124.666666666667,0.72
"367",180,"F",82.625,0.47
"368",180,"ZF",152.083333333333,0.87
"369",181,"F",133.875,0.77
"370",181,"L",133.958333333333,0.77
"371",181,"ZF",29.0833333333333,0.17
"372",182,"F",148.166666666667,0.85
"373",182,"L",152,0.87
"374",182,"ZF",124.333333333333,0.71
"375",183,"F",142.541666666667,0.82
"376",183,"L",300.166666666667,1.73
"377",183,"ZF",141.916666666667,0.82
"378",184,"F",149.583333333333,0.86
"379",184,"L",253.333333333333,1.46
"380",184,"ZF",142,0.82
"381",192,"F",313.041666666667,1.8
"382",192,"L",358.458333333333,2.06
"383",192,"ZF",148.083333333333,0.85
"384",194,"F",126.541666666667,0.73
"385",194,"L",403.708333333333,2.32
"386",194,"ZF",120.75,0.69
"387",195,"F",410.125,2.36
"388",195,"L",292.625,1.68
"389",195,"ZF",146.416666666667,0.84
"390",196,"F",528.291666666667,3.04
"391",196,"L",623.416666666667,3.58
"392",196,"ZF",35.2083333333333,0.2
"393",197,"F",999.083333333333,5.74
"394",197,"L",783.833333333333,4.5
"395",197,"ZF",133.791666666667,0.77
"396",198,"F",299.541666666667,1.72
"397",198,"L",328.875,1.89
"398",198,"ZF",131,0.75
"399",201,"F",101.416666666667,0.58
"400",201,"ZF",109.791666666667,0.63
"401",202,"F",302.166666666667,1.74
"402",202,"L",273.708333333333,1.57
"403",202,"ZF",19.2083333333333,0.11
"404",203,"L",137.666666666667,0.79
"405",203,"ZF",147.833333333333,0.85
"406",204,"ZF",12.25,0.07
"407",207,"F",336,1.93
"408",207,"L",277.666666666667,1.6
"409",207,"ZF",149.166666666667,0.86
"410",209,"F",291.333333333333,1.67
"411",209,"L",146.458333333333,0.84
"412",209,"ZF",123,0.71
"413",210,"F",265.166666666667,1.52
"414",210,"L",164.333333333333,0.94
"415",210,"ZF",18,0.1
"416",211,"F",146.416666666667,0.84
"417",211,"L",299.708333333333,1.72
"418",211,"ZF",150.375,0.86
"419",212,"F",334.083333333333,1.92
"420",212,"L",286.25,1.65
"421",212,"ZF",18.75,0.11
"422",214,"F",40,0.23
"423",214,"L",92.3333333333333,0.53
"424",214,"ZF",33.0416666666667,0.19
"425",216,"F",201.75,1.16
"426",216,"L",276.458333333333,1.59
"427",216,"ZF",148.291666666667,0.85
"428",217,"F",151.666666666667,0.87
"429",217,"L",278.666666666667,1.6
"430",217,"ZF",145.916666666667,0.84
"431",218,"F",269.166666666667,1.55
"432",218,"ZF",137.875,0.79
"433",220,"F",538.5,3.09
"434",220,"L",284.541666666667,1.64
"435",220,"ZF",144.625,0.83
"436",221,"F",480.833333333333,2.76
"437",221,"L",423.666666666667,2.43
"438",221,"ZF",121.625,0.7
"439",223,"F",420.333333333333,2.42
"440",223,"L",1152.33333333333,6.62
"441",223,"ZF",146.208333333333,0.84
"442",224,"F",259.875,1.49
"443",224,"L",146.041666666667,0.84
"444",224,"ZF",149,0.86
"445",225,"F",56.2083333333333,0.32
"446",225,"L",146.833333333333,0.84
"447",225,"ZF",87.9166666666667,0.51
"448",226,"F",207.75,1.19
"449",226,"L",271.083333333333,1.56
"450",226,"ZF",153.958333333333,0.88
"451",227,"F",13.6666666666667,0.08
"452",227,"L",149.916666666667,0.86
"453",227,"ZF",22.8333333333333,0.13
"454",228,"F",484.125,2.78
"455",228,"L",291.708333333333,1.68
"456",228,"ZF",107.5,0.62
"457",229,"F",120.833333333333,0.69
"458",229,"L",237.916666666667,1.37
"459",229,"ZF",114.791666666667,0.66
"460",230,"F",147.333333333333,0.85
"461",230,"ZF",146.875,0.84
"462",234,"F",0,0
"463",234,"L",0,0
"464",234,"ZF",0,0
"465",236,"F",427.75,2.46
"466",236,"L",422.333333333333,2.43
"467",236,"ZF",147.583333333333,0.85
"468",238,"F",141.458333333333,0.81
"469",238,"L",298.125,1.71
"470",238,"ZF",137.25,0.79
"471",239,"F",284.333333333333,1.63
"472",239,"ZF",131.666666666667,0.76
"473",240,"F",75.3333333333333,0.43
