traffic,conversion
-0.043970727,0.401214029
-0.005913869,1.089937803
-0.002292394,0.740237436
0.013591896,-0.057209534
0.018468337,0.453370863
0.024299449,0.836684918
0.037057777,0.492242964
0.043639379,0.170076567
0.069240695,0.584396867
0.07062564,0.476989353
0.07184475,0.355531947
0.079159412,0.66954543
0.086093102,0.508857134
0.087957623,1.2203259
0.095297384,0.577994199
0.097446066,0.838786023
0.097446066,0.435712812
0.097280231,0.203949405
0.121088738,0.473630775
0.121828272,0.877758126
0.122285438,0.600547863
0.123047382,0.131052634
0.124655485,0.663788141
0.126704713,0.296226573
0.129142933,1.053912031
0.130362044,0.401214029
0.131581154,0.071543928
0.133812561,0.46518874
0.13629176,0.133396941
0.13499297,0.653910949
0.139160255,1.35779476
0.142019786,0.601944081
0.142415997,0.47086226
0.14997448,1.077643217
0.150435033,0.374670994
0.150705947,0.160258605
0.152306029,0.760841817
0.153525139,0.557170218
0.154170786,0.611016174
0.156191943,0.407530899
0.158235745,0.89760898
0.159402267,-0.014895067
0.160458829,0.641257537
0.16533527,0.753349315
0.166195818,0.550334075
0.166728539,0.607037082
0.16832209,0.454472998
0.170592683,0.850172654
0.171295365,0.595404299
0.185056172,0.989084778
0.181737845,0.904382387
0.186441117,0.25976224
0.188498365,0.709873084
0.193374806,0.545083553
0.19142423,0.470428484
0.20107044,0.593837884
0.201055201,0.286507269
0.203676288,0.930365268
0.202940133,0.528604579
0.206040008,0.370912937
0.212306872,0.323064782
0.216266988,0.67439981
0.216172169,0.359170247
0.221338149,0.62536801
0.221576891,0.818271065
0.221795315,0.181682479
0.224827852,0.600778307
0.228891553,0.768071424
0.22742862,0.684542146
0.229203103,0.535554194
0.233300668,0.819537193
0.238862859,1.193533825
0.238862859,0.321100941
0.239138331,0.520946757
0.242139218,0.685269826
0.245065082,0.562172203
0.24495841,0.268708879
0.244374253,0.635046647
0.252107237,0.458537906
0.256497628,0.033121576
0.252501655,0.714210849
0.257784466,0.786416553
0.263426759,0.763898643
0.272616975,0.87729272
0.273386939,0.652649925
0.278631252,0.690987743
0.277874388,0.133899292
0.280312608,0.429206166
0.280338007,0.78289212
0.281343238,0.85153756
0.28518905,0.996978872
0.29005963,0.70190946
0.299007127,0.920152597
0.300385598,0.800203013
0.301875622,0.83842865
0.303094732,0.586443967
0.300046956,0.740237436
0.304313842,0.705673026
0.306752063,0.552783924
0.312314253,0.911208616
0.31213049,0.785681898
0.316330786,0.9455546
0.317724055,0.703253612
0.320324824,0.674173282
0.317724055,0.558123623
0.321686164,0.981073735
0.321245929,0.751834931
0.322448108,0.519449741
0.324288495,0.479915953
0.326638799,1.136261778
0.326974951,0.797641937
0.331134268,0.711006818
0.335672068,0.556942787
0.339058485,0.811374096
0.340136929,0.582553208
0.341191928,0.451324246
0.342639622,0.355991328
0.348483145,0.98769922
0.34728748,0.970676333
0.348201812,0.703859365
0.350190887,0.851912041
0.351021005,0.9258802
0.354983113,0.368721462
0.362257437,1.069333421
0.360654153,0.987820508
0.361992997,-0.070246749
0.358767435,0.860007933
0.363763397,0.343736245
0.366651015,1.347162984
0.37296499,0.76829735
0.373532215,0.561112865
0.374107906,0.806810071
0.375022239,1.036979961
0.374123947,0.997708491
0.376139756,1.107049646
0.377079487,0.937063499
0.385883403,0.578589984
0.385100217,0.547712988
0.387890625,0.79578492
0.387428478,0.36431911
0.38736573,1.083857667
0.38981411,1.008745058
0.391344771,0.496250232
0.393165468,0.614274992
0.393689865,0.298734343
0.399785416,0.934759062
0.401268966,0.57693336
0.403442747,0.880062563
0.400623554,0.745117421
0.399709222,0.485163328
0.403976108,0.628980554
0.411758095,1.13229905
0.41441474,0.179581375
0.423505317,0.677590106
0.423223984,0.913581178
0.42622487,0.439774948
0.427901147,0.660395458
0.429882201,0.809641667
0.430491756,0.472018998
0.450607076,1.218679304
0.445730635,0.907602849
0.445730635,0.876515537
0.450542912,0.769808433
0.452901872,0.603138561
0.453426269,0.960311206
0.453807241,0.814386097
0.458084286,0.55761755
0.463267067,0.610022936
0.465617371,0.465873831
0.471880551,1.05485188
0.472144691,0.995008804
0.474257816,0.843910007
0.483021067,1.138514386
0.484742164,0.678108818
0.483523054,0.449245734
0.487315841,0.649449631
0.490106249,1.168202658
0.48941542,0.909342473
0.493199742,0.885933607
0.492702237,0.577060942
0.495191681,0.981990346
0.499981043,0.741538765
0.501972256,1.060870528
0.503243955,0.487881607
0.509769781,0.992369997
0.50912437,0.958604444
0.514427499,0.611926706
0.519258224,0.669613207
0.519486807,0.549237015
0.521478021,0.798291184
0.521044559,0.579760518
0.522778405,0.992974185
0.524523657,0.900941282
0.529413848,0.747611635
0.530957527,0.936324108
0.53167791,0.775338471
0.524972803,0.596368246
0.536655944,0.812075635
0.535944796,0.984655884
0.540821237,0.776650559
0.545123979,0.693797839
0.545123979,0.329744575
0.557315082,0.891578637
0.559753303,0.047726092
0.559772861,0.823739402
0.56240666,0.75665715
0.56433265,0.79631337
0.565584415,1.01934547
0.568129307,0.779576828
0.563984332,0.679508733
0.567794052,0.874937072
0.572733241,1.245905952
0.577775517,1.127247362
0.576175435,0.822172987
0.581432848,0.650771043
0.585354619,1.216715349
0.585090179,0.339807551
0.595103726,0.830977888
0.595245803,1.200333099
0.600476367,0.856793168
0.612175045,0.908963716
0.612605319,0.808954146
0.611529633,0.7445752
0.613129716,0.195102438
0.621497653,0.989084778
0.623415959,0.82138978
0.631680809,1.032526214
0.633473619,0.707802787
0.634421815,0.627382163
0.638134923,0.828179232
0.63835006,0.661664747
0.648847954,0.809227973
0.651760273,0.925085354
0.656088114,0.889512822
0.664899572,0.568449912
0.665385623,1.071502303
0.665551458,0.062461733
0.669473228,0.759961506
0.67408523,1.301300162
0.673704258,0.797351335
0.675486034,0.579706782
0.679528896,0.922047337
0.682883441,0.373377382
0.687495443,0.431171715
0.690040336,0.935653726
0.69586338,0.865522281
0.701472881,1.049624472
0.702389206,0.579166033
0.713934897,0.755824682
0.718530005,0.886053057
0.720538411,0.779807487
0.726506972,0.607257843
0.731002441,0.867912304
0.732436689,0.664517929
0.731950638,0.787229884
0.733655799,0.28636693
0.736366526,0.822871849
0.740298157,0.613493379
0.744793626,1.021717685
0.752731289,0.86545849
0.76308028,0.043755124
0.772939835,0.646541722
0.775535823,1.215669182
0.778547742,0.705239563
0.783805155,1.003621073
0.785117392,0.200005016
0.800781992,0.771394749
0.823817371,1.093331465
0.82386996,0.996420703
0.832569567,0.678492069
0.837446008,0.873149251
0.847463329,0.476590661
0.848252165,0.785209847
0.875805651,-0.092794088
0.883865325,0.152048619
0.89257041,1.135739492
0.895582329,0.743490759
0.897446851,1.305550214
0.898401522,0.971426728
0.941070382,0.69184425
0.954480595,0.845428225
1.009340558,1.003756629
1.011612943,0.788144217
1.067857851,0.763214032
0.769063181,0.403100775
0.612200436,0.465116279
0.520697168,0.228682171
0.662309368,0.248062016
0.705882353,0.170542636
0.838779956,0.329457364
0.816993464,0.569767442
0.562091503,0.457364341
0.588235294,0.558139535
0.751633987,0.492248062
0.525054466,0.104651163
0.501089325,-0.062015504
0.590413943,0.298449612
0.562091503,0.282945736
0.662309368,0.189922481
0.694989107,0.228682171
0.328976035,0.135658915
0.34204793,0.127906977